Situacao,,Desatracação,DWT,IMO,SaldoTotal,Chegada,ETB,Operador,Cal.Cheg.,Tons/Dia,Mercadoria,Embarcação,Saldo,JanelaOperacional,Atracação,SaldoOperador,Prancha(t/dia),Programação,LOA,DUV,Realizado,Agência,Sentido,Berço,TipodeOperação,ETA,Cal.Saída,Desatracacao,Bordo,Status,Previsto
AO LARGO,13,,"34.492,00",9805271,,13/12/2024 07:50,,FORTESOLO,"8,00",,CLORETOS DE POTASSIO,FEDERAL DELTA,,,,,,74977,"199,98",,,ROCHAMAR,Imp,209,,13/12/2024 07:50,"6,30",,,,"14.711,000 Tons."
AO LARGO,Imp,,,13/12/2024 07:50,,,,"6,30",,,,13/12/2024 07:50,,,,,,ROCHAMAR,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,,"8,00","4.872,000 Tons.",CLORETOS DE POTASSIO,,,,,,,
AO LARGO,14,,"38.267,00",9574030,,12/12/2024 20:12,,PORTO PONTA DO FELIX S/A,"8,70",,CLORETOS DE POTASSIO,INA-LOTTE,,,,,,74940,"179,97",0541122024,,FORTENAVE,Imp,114,,12/12/2024 18:00,"6,20",,,,"20.961,000 Tons."
AO LARGO,15,,"81.982,00",9785988,,05/12/2024 10:40,,ALPHAMAR PORT SERVICES,"4,50",,FARELO DE SOJA,DUKE SANTOS,,,,,,75023,"229,00",0549422024,,ALPHAMAR,Exp,213,,07/12/2024 00:01,"12,80",,,,"63.000,000 Tons."
AO LARGO,16,,"63.683,00",9863869,,06/12/2024 11:36,,CEU AZUL,"6,20",,AÇÚCAR,EVA SHANGHAI,,,,,,74983,"199,90",0540142024,,CARGONAVE,Exp,204,,06/12/2024 12:00,"13,10",,,,"60.000,000 Tons."
AO LARGO,17,,"34.979,00",9748265,,05/12/2024 09:00,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,"9,82",,CLORETOS DE POTASSIO,PUMA,,,,,,74997,"179,97",0542912024,,FORTENAVE,Imp,211,,05/12/2024 09:00,"6,00",,,,"30.000,000 Tons."
AO LARGO,Imp,,,05/12/2024 09:00,,,,"6,00",,,,05/12/2024 09:00,,,,,,FORTENAVE,,HARBOR,,"9,82","2.550,000 Tons.",CLORETOS DE POTASSIO,,,,,,,
AO LARGO,18,,"58.609,00",9452505,,04/12/2024 08:00,,CEU AZUL,"6,50",,AÇÚCAR,SEAGULL,,,,,,74959,"196,00",0536492024,,BPA,Exp,204,,04/12/2024 08:00,"12,80",,,,"56.300,000 Tons."
AO LARGO,19,,"58.096,00",9425942,,03/12/2024 15:30,,CEU AZUL,"6,00",,AÇÚCAR,TRADE,,,,,,75005,"189,99",0543472024,,WILLIAMS,Exp,204,,03/12/2024 19:00,"11,30",,,,"47.250,000 Tons."
AO LARGO,20,,"82.330,00",9938810,,03/12/2024 04:30,,FORTESOLO,"12,80",,SULFATO DE AMONIO,CL XINYU,,,,,,74833,"229,00",0509992024,,ORION,Imp,211,,03/12/2024 06:00,"7,30",,,,"4.300,000 Tons."
AO LARGO,Imp,,,03/12/2024 04:30,,,,"7,30",,,,03/12/2024 06:00,,,,,,ORION,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,,"12,80","62.900,000 Tons.",SULFATO DE AMONIO,,,,,,,
AO LARGO,21,,"34.697,00",9612143,,01/12/2024 13:06,,FORTESOLO,"10,11",,DAP - Fosfato Diamonico,AFRICAN OSPREY,,,,,,74920,"180,00",0524932024,,ROCHAMAR,Imp,209,,01/12/2024 08:00,"7,50",,,,"31.353,000 Tons."
AO LARGO,Imp,,,01/12/2024 13:06,,,,"7,50",,,,01/12/2024 08:00,,,,,,ROCHAMAR,,FORTESOLO,,"10,11","31.353,000 Tons.",FERTILIZ.MINER.QUIM.C/NITROGEN,,,,,,,
AO LARGO,22,,"58.756,00",9617741,,01/12/2024 00:00,,FORTESOLO,"12,14",,CLORETOS DE POTASSIO,COMMON LUCK,,,,,,74923,"197,00",0536592024,,ZPORT,Imp,211,,01/12/2024 05:30,"9,00",,,,"14.280,000 Tons."
AO LARGO,Imp,,,01/12/2024 00:00,,,,"9,00",,,,01/12/2024 05:30,,,,,,ZPORT,,HARBOR,,"12,14","7.419,000 Tons.",CLORETOS DE POTASSIO,,,,,,,
AO LARGO,23,,"78.844,00",9402940,,30/11/2024 03:18,,FOSPAR,"11,90",,FERTILIZ.MINER.QUIM.C/NITROGEN,PELAGIA,,,,,,74738,"225,00",0485882024,,ROCHAMAR,Imp,200,,30/11/2024 20:00,"7,50",,,,"57.000,000 Tons."
AO LARGO,24,,"58.772,00",9482122,,28/11/2024 18:12,,FORTESOLO,"11,50",,UREIA,SUNNY ROYAL,,,,,,74787,"197,00",0497982024,,ROCHAMAR,Imp,209,,29/11/2024 20:00,"9,50",,,,"6.600,000 Tons."
AO LARGO,Imp,,,28/11/2024 18:12,,,,"9,50",,,,29/11/2024 20:00,,,,,,ROCHAMAR,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,,"11,50","42.900,000 Tons.",UREIA,,,,,,,
AO LARGO,25,,"35.010,05",9474216,,29/11/2024 11:42,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,"10,15",,FERTILIZ.MINER.QUIM.C/NITROGEN,COYOTE,,,,,,75004,"180,00",0542302024,,AMART,Imp,209,,29/11/2024 19:00,"7,00",,,,"27.139,000 Tons."
AO LARGO,26,,"45.174,30",9968487,,27/11/2024 15:00,,FORTESOLO,"10,26",,MAP,RODINA,,,,,,74919,"190,00",0530632024,,ORION,Imp,211,,27/11/2024 16:00,"7,43",,,,"9.880,000 Tons."
