PROGRAMAÇÃO,EMBARCAÇÃO,AGENTE,ETA,CHEGADA,ATRACAÇÃO,DESATRACAÇÃO,STATUS,MERCADORIA,QUANTIDADE (T),CLIENTE,OPERADOR,Berco
4485,BERTOLINI CXL VIII,CARGILL - SANTAREM,23/06/2024 12:00,23/06/2024 18:00,23/06/2024 12:00,,Confirmado,,,,,"                          BERÇO CDP - BERÇO PÚBLICO (101) - PIER/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
4589,CARGILL CACHARA,CARGILL - SANTAREM,01/07/2024 10:30,01/07/2024 18:00,01/07/2024 10:30,,Confirmado,,,,,"                          BERÇO CDP - BERÇO PÚBLICO (101) - PIER/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6081,BERTUOL X,PORTO FACIL,28/09/2024 16:00,28/09/2024 17:00,28/09/2024 16:10,,Confirmado,"Adubos (fertilizantes) minerais ou químicos, nitrogenados (azotados).","3.300,000",,BERTUOL - SORRISO/MT,"                          BERÇO CDP - BERÇO PÚBLICO (101) - PIER/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6298,Aviso Hidroceanográfico Fluvial Rio Xingu,MARINHA,18/10/2024 18:00,21/10/2024 18:00,18/10/2024 18:05,,Confirmado,,,,,"                          BERÇO CDP - BERÇO PÚBLICO (101) - PIER/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
1493,BERTUOL XIII,SERVEPORTO - SANTARÉM,21/11/2023 10:00,21/11/2023 22:00,22/11/2023 19:40,,Confirmado,"Adubos (fertilizantes) minerais ou químicos, fosfatados.","2.649,580",,FERTITEX SANTAREM,"                          BERÇO CDP - BERÇO PÚBLICO (101) - PIER/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
3916,BERTOLINI CXL VIII,CARGILL - SANTAREM,13/05/2024 11:00,13/05/2024 17:00,13/05/2024 11:01,,Confirmado,,,,,"                          BERÇO CDP - BERÇO PÚBLICO (101) - PIER/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
4522,CARGILL XXIV,CARGILL - SANTAREM,24/06/2024 17:00,24/06/2024 20:00,24/06/2024 17:05,,Atracado,,,,,"                          BERÇO CDP - BERÇO PÚBLICO (101) - PIER/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
4697,NAVEGRÃOS XXVII,SERVEPORTO - SANTARÉM,08/07/2024 20:00,08/07/2024 21:00,09/07/2024 21:22,,Atracado,"Soja, mesmo triturada.","1.651,410",,FERTITEX SANTAREM,"                          BERÇO CDP - BERÇO PÚBLICO (101) - PIER/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
4698,UNIGRAOS I,SERVEPORTO - SANTARÉM,08/07/2024 20:00,08/07/2024 21:00,14/07/2024 12:24,,Atracado,"Soja, mesmo triturada.","1.617,780",,FERTITEX SANTAREM,"                          BERÇO CDP - BERÇO PÚBLICO (101) - PIER/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
5916,NG 19,CIDADE TRANSPORTES,17/09/2024 06:00,17/09/2024 13:00,17/09/2024 21:50,,Atracado,"Soja, mesmo triturada.","2.000,000",,FERTITEX SANTAREM,"                          BERÇO CDP - BERÇO PÚBLICO (101) - PIER/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
5915,NG 20,CIDADE TRANSPORTES,17/09/2024 06:00,17/09/2024 13:00,19/09/2024 04:05,,Atracado,"Soja, mesmo triturada.","2.000,000",,FERTITEX SANTAREM,"                          BERÇO CDP - BERÇO PÚBLICO (101) - PIER/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6802,POLLUX II,WILSON SONS SERVIÇOS MARITIMOS (SANTARÉM),29/11/2024 07:00,29/11/2024 18:00,29/11/2024 09:14,,Atracado,,,,,"                          BERÇO CDP - BERÇO PÚBLICO (101) - PIER/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6456,ABRAHAM M,ORION RODOS MARITIMA,28/11/2024 00:00,03/12/2024 00:00,11/12/2024 00:55,,Atracado,"Adubos (fertilizantes) minerais ou químicos, nitrogenados (azotados).","30.363,759",,FERTITEX SANTAREM,"                          BERÇO CDP - BERÇO PÚBLICO (101) - PIER/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6855,NAVIO AUXILIAR PARÁ,MARINHA,06/12/2024 15:00,10/12/2024 17:00,05/12/2024 15:01,,Atracado,,,,,"                          BERÇO CDP - BERÇO PÚBLICO (101) - PIER/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
5223,LDC AMAZONAS,CARGILL - SANTAREM,05/08/2024 14:00,05/08/2024 19:00,05/08/2024 15:00,,Confirmado,,,,,"                          BERÇO CDP - BERÇO PÚBLICO (102) - PIER/INTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
5738,LDC AMAZONAS,CARGILL - SANTAREM,04/09/2024 07:00,04/09/2024 13:00,04/09/2024 07:00,,Confirmado,"Águas, incluindo as águas minerais, naturais ou artificiais, e as águas gaseificadas, não adicionada","15,000",,COMPANHIA DOCAS DO PARA (CDP) SANTARÉM,"                          BERÇO CDP - BERÇO PÚBLICO (102) - PIER/INTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6432,POLLUX II,WILSON SONS SERVIÇOS MARITIMOS (SANTARÉM),01/11/2024 14:36,01/11/2024 16:00,01/11/2024 14:36,,Confirmado,,,,,"                          BERÇO CDP - BERÇO PÚBLICO (102) - PIER/INTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6676,LDC GUAMA,PORTO FACIL,17/12/2024 07:00,17/12/2024 08:30,17/12/2024 07:10,,Confirmado,,,,,"                          BERÇO CDP - BERÇO PÚBLICO (102) - PIER/INTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
7028,POLLUX II,WILSON SONS SERVIÇOS MARITIMOS (SANTARÉM),11/12/2024 13:00,11/12/2024 17:00,11/12/2024 13:10,,Confirmado,,,,,"                          BERÇO CDP - BERÇO PÚBLICO (102) - PIER/INTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
7069,LDC CAPIM,PORTO FACIL,17/12/2024 08:00,17/12/2024 09:30,17/12/2024 08:10,,Confirmado,,,,,"                          BERÇO CDP - BERÇO PÚBLICO (102) - PIER/INTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6778,S/N ARARUAMA,SULNORTE SERVICOS,01/12/2024 11:50,31/12/2024 23:59,02/12/2024 05:30,,Atracado,,,,,"                          BERÇO CDP - BERÇO PÚBLICO (102) - PIER/INTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6563,NAVEGRÃOS LVI,CIDADE TRANSPORTES,14/11/2024 18:00,14/11/2024 23:00,14/11/2024 18:30,,Confirmado,"Adubos (fertilizantes) de origem animal ou vegetal, mesmo misturados entre si ou tratados quimicamen","2.000,000",,MASTER NORTE (SANTAREM),"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6604,NAVEGRÃOS I,PORTO FACIL,15/11/2024 19:00,15/11/2024 20:00,15/11/2024 19:10,,Confirmado,"Adubos (fertilizantes) minerais ou químicos, nitrogenados (azotados).","3.300,000",,FERTITEX SANTAREM,"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6610,NG 15,PORTO FACIL,15/11/2024 19:00,15/11/2024 20:00,15/11/2024 19:10,,Confirmado,"Adubos (fertilizantes) minerais ou químicos, nitrogenados (azotados).","3.300,000",,FERTITEX SANTAREM,"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6612,NAVEGRÃOS XXVIII,PORTO FACIL,15/11/2024 19:00,15/11/2024 20:00,15/11/2024 19:10,,Confirmado,"Adubos (fertilizantes) minerais ou químicos, nitrogenados (azotados).","3.300,000",,FERTITEX SANTAREM,"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6704,BERTUOL VIII,PORTO FACIL,21/11/2024 18:00,21/11/2024 19:00,21/11/2024 18:10,,Confirmado,"Adubos (fertilizantes) minerais ou químicos, nitrogenados (azotados).","3.300,000",,BERTUOL - SORRISO/MT,"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6705,BERTUOL 16,PORTO FACIL,21/11/2024 18:00,21/11/2024 19:00,21/11/2024 18:10,,Confirmado,"Adubos (fertilizantes) minerais ou químicos, nitrogenados (azotados).","3.300,000",,BERTUOL - SORRISO/MT,"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6706,BERTUOL 18,PORTO FACIL,21/11/2024 18:00,21/11/2024 19:00,21/11/2024 18:10,,Confirmado,"Adubos (fertilizantes) minerais ou químicos, nitrogenados (azotados).","3.300,000",,BERTUOL - SORRISO/MT,"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6707,BERTUOL 23,PORTO FACIL,21/11/2024 18:00,21/11/2024 19:00,21/11/2024 18:10,,Confirmado,"Adubos (fertilizantes) minerais ou químicos, nitrogenados (azotados).","3.300,000",,BERTUOL - SORRISO/MT,"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6708,BERTUOL 24,PORTO FACIL,21/11/2024 18:00,21/11/2024 19:00,21/11/2024 18:10,,Confirmado,"Adubos (fertilizantes) minerais ou químicos, nitrogenados (azotados).","3.300,000",,BERTUOL - SORRISO/MT,"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6709,BERTUOL VII,PORTO FACIL,21/11/2024 18:00,21/11/2024 19:00,21/11/2024 18:10,,Confirmado,"Adubos (fertilizantes) minerais ou químicos, nitrogenados (azotados).","3.300,000",,BERTUOL - SORRISO/MT,"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
7065,BERTUOL 16,PORTO FACIL,15/12/2024 20:00,15/12/2024 21:00,15/12/2024 20:10,,Confirmado,"Adubos (fertilizantes) minerais ou químicos, nitrogenados (azotados).","3.300,000",,BERTUOL - SORRISO/MT,"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
7066,BERTUOL 19,PORTO FACIL,15/12/2024 20:00,15/12/2024 21:00,15/12/2024 20:10,,Confirmado,"Adubos (fertilizantes) minerais ou químicos, nitrogenados (azotados).","3.300,000",,BERTUOL - SORRISO/MT,"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
7067,BERTUOL 21,PORTO FACIL,15/12/2024 20:00,15/12/2024 21:00,15/12/2024 20:10,,Confirmado,"Adubos (fertilizantes) minerais ou químicos, nitrogenados (azotados).","3.300,000",,BERTUOL - SORRISO/MT,"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
7068,BERTUOL IX,PORTO FACIL,15/12/2024 20:00,15/12/2024 21:00,15/12/2024 20:10,,Confirmado,"Adubos (fertilizantes) minerais ou químicos, nitrogenados (azotados).","3.300,000",,BERTUOL - SORRISO/MT,"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
3917,BERTOLINI XXX,CARGILL - SANTAREM,13/05/2024 18:45,13/05/2024 20:15,13/05/2024 18:46,,Confirmado,,,,,"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6026,NAVEGRAOS LXVIII,CIDADE TRANSPORTES,26/09/2024 07:00,26/09/2024 14:00,25/09/2024 23:10,,Atracado,"Adubos (fertilizantes) de origem animal ou vegetal, mesmo misturados entre si ou tratados quimicamen","2.000,000",,MASTER NORTE (SANTAREM),"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6529,NAVEGRAOS LXVII,CIDADE TRANSPORTES,13/11/2024 07:00,13/11/2024 14:00,12/11/2024 17:05,,Atracado,"Adubos (fertilizantes) de origem animal ou vegetal, mesmo misturados entre si ou tratados quimicamen","2.000,000",,MASTER NORTE (SANTAREM),"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6530,NG 05,CIDADE TRANSPORTES,13/11/2024 07:00,13/11/2024 14:00,12/11/2024 22:30,,Atracado,"Adubos (fertilizantes) de origem animal ou vegetal, mesmo misturados entre si ou tratados quimicamen","2.000,000",,MASTER NORTE (SANTAREM),"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6533,NAVEGRÃOS LXVIII,CIDADE TRANSPORTES,13/11/2024 07:00,13/11/2024 14:00,13/11/2024 04:10,,Atracado,"Adubos (fertilizantes) de origem animal ou vegetal, mesmo misturados entre si ou tratados quimicamen","2.000,000",,MASTER NORTE (SANTAREM),"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6536,NAVEGRÃOS LVII,CIDADE TRANSPORTES,13/11/2024 07:00,13/11/2024 14:00,13/11/2024 09:20,,Atracado,"Adubos (fertilizantes) de origem animal ou vegetal, mesmo misturados entre si ou tratados quimicamen","2.000,000",,MASTER NORTE (SANTAREM),"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6534,VDA CI,CIDADE TRANSPORTES,13/11/2024 07:00,13/11/2024 14:00,13/11/2024 13:50,,Atracado,"Adubos (fertilizantes) de origem animal ou vegetal, mesmo misturados entre si ou tratados quimicamen","2.000,000",,MASTER NORTE (SANTAREM),"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6537,NG 10,CIDADE TRANSPORTES,13/11/2024 07:00,13/11/2024 14:00,13/11/2024 17:15,,Atracado,"Adubos (fertilizantes) de origem animal ou vegetal, mesmo misturados entre si ou tratados quimicamen","2.000,000",,MASTER NORTE (SANTAREM),"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6532,NG 07,CIDADE TRANSPORTES,13/11/2024 07:00,13/11/2024 14:00,13/11/2024 21:55,,Atracado,"Adubos (fertilizantes) de origem animal ou vegetal, mesmo misturados entre si ou tratados quimicamen","2.000,000",,MASTER NORTE (SANTAREM),"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6535,TFL I,CIDADE TRANSPORTES,13/11/2024 07:00,13/11/2024 14:00,14/11/2024 02:50,,Atracado,"Adubos (fertilizantes) de origem animal ou vegetal, mesmo misturados entre si ou tratados quimicamen","2.000,000",,MASTER NORTE (SANTAREM),"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6531,NG 08,CIDADE TRANSPORTES,13/11/2024 07:00,13/11/2024 14:00,14/11/2024 07:05,,Atracado,"Adubos (fertilizantes) de origem animal ou vegetal, mesmo misturados entre si ou tratados quimicamen","2.000,000",,MASTER NORTE (SANTAREM),"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6560,VDA CII,CIDADE TRANSPORTES,14/11/2024 18:00,14/11/2024 23:00,14/11/2024 12:00,,Atracado,"Adubos (fertilizantes) de origem animal ou vegetal, mesmo misturados entre si ou tratados quimicamen","2.000,000",,MASTER NORTE (SANTAREM),"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6561,VDA CIII,CIDADE TRANSPORTES,14/11/2024 18:00,14/11/2024 23:00,14/11/2024 17:25,,Atracado,"Adubos (fertilizantes) de origem animal ou vegetal, mesmo misturados entre si ou tratados quimicamen","2.000,000",,MASTER NORTE (SANTAREM),"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6558,NAVEGRÃOS LXIX,CIDADE TRANSPORTES,14/11/2024 18:00,14/11/2024 23:00,15/11/2024 00:05,,Atracado,"Adubos (fertilizantes) de origem animal ou vegetal, mesmo misturados entre si ou tratados quimicamen","2.000,000",,MASTER NORTE (SANTAREM),"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6562,NAVEGRÃOS LX,CIDADE TRANSPORTES,14/11/2024 18:00,14/11/2024 23:00,15/11/2024 06:30,,Atracado,"Adubos (fertilizantes) de origem animal ou vegetal, mesmo misturados entre si ou tratados quimicamen","2.000,000",,MASTER NORTE (SANTAREM),"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6559,NAVEGRÃOS LVIII,CIDADE TRANSPORTES,14/11/2024 18:00,14/11/2024 23:00,15/11/2024 11:50,,Atracado,"Adubos (fertilizantes) de origem animal ou vegetal, mesmo misturados entre si ou tratados quimicamen","2.000,000",,MASTER NORTE (SANTAREM),"                          BERÇO CDP - BERÇO PÚBLICO (201) - DOLFINS/EXTERNO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
